acoustic_index,correlation,p_value,abs_correlation
BGNf,0.70776932337546,0.0,0.70776932337546
NDSI,-0.6859328412281276,0.0,0.6859328412281276
rBA,-0.6859328412198091,0.0,0.6859328412198091
H_pairedShannon,-0.6388033396366977,0.0,0.6388033396366977
Hf,-0.6384987315382816,0.0,0.6384987315382816
H_GiniSimpson,-0.6283860543006834,0.0,0.6283860543006834
LEQf,0.6250739145456672,0.0,0.6250739145456672
ENRf,0.6250739145360457,0.0,0.6250739145360457
RAOQ,-0.5879716558672419,0.0,0.5879716558672419
ADI,-0.5856075833405847,0.0,0.5856075833405847
MEANf,0.5831356583964601,0.0,0.5831356583964601
H_gamma,-0.5807520382407202,0.0,0.5807520382407202
MED,0.5745574293399303,0.0,0.5745574293399303
SKEWf,0.5565426196026586,0.0,0.5565426196026586
H_Havrda,-0.5395163394534248,0.0,0.5395163394534248
KURTf,0.5310179438989686,2.3685782e-316,0.5310179438989686
H_Renyi,-0.5235053849513418,6.044123148010169e-306,0.5235053849513418
AEI,0.5128005162330163,1.4632264060604635e-291,0.5128005162330163
BGNt,0.5112965758060468,1.397116286523731e-289,0.5112965758060468
LFC,0.5045142637475217,8.947546863990885e-281,0.5045142637475217
AnthroEnergy,0.4998858194443465,7.05074748266411e-275,0.4998858194443465
VARf,0.498448796751942,4.5767398501534266e-273,0.498448796751942
ROU,0.4622724526993008,3.492284997233876e-230,0.4622724526993008
LEQt,0.442066134650688,2.177565249358651e-208,0.442066134650688
Ht,0.432332628059346,2.0963372238220203e-198,0.432332628059346
EPS,0.42583107986119173,6.455331569603642e-192,0.42583107986119173
BI,-0.4147579116802118,3.445429591417188e-181,0.4147579116802118
EPS_KURT,0.3739233243529012,5.639641160750292e-145,0.3739233243529012
EVNspCount,0.35328613311866,1.480100270929017e-128,0.35328613311866
ACTspFract,0.34082554382152963,3.213174824684977e-119,0.34082554382152963
ACTspCount,0.340555120450583,5.068308610599252e-119,0.340555120450583
MFC,0.3357062080269274,1.661282831170291e-115,0.3357062080269274
EPS_SKEW,0.33551860679440265,2.2656401963931286e-115,0.33551860679440265
HFC,0.3151975242394684,2.521028690240779e-101,0.3151975242394684
EVNspFract,0.30994246451891594,7.24196879586811e-98,0.30994246451891594
SNRf,-0.3031611512620032,1.6559352532960792e-93,0.3031611512620032
ACTtMean,-0.2971751305828284,9.358477947657133e-90,0.2971751305828284
SNRt,-0.27067527253098883,3.3778576409388513e-74,0.27067527253098883
EAS,-0.24329062316768826,7.275326753322961e-60,0.24329062316768826
AGI,0.2360485119666706,2.321847752164818e-56,0.2360485119666706
ACTtFraction,0.23560741149524028,3.762269931040796e-56,0.23560741149524028
ACTtCount,0.23533884918616116,5.044997195066979e-56,0.23533884918616116
nROI,0.22934702041234195,3.189361488960839e-53,0.22934702041234195
aROI,0.2113233911842166,2.831592993606826e-45,0.2113233911842166
ECU,-0.1908375365771774,4.312789472723046e-37,0.1908375365771774
NBPEAKS,-0.18865650885109297,2.8412649420328026e-36,0.18865650885109297
ZCR,-0.17293567082672134,1.1515959944682523e-30,0.17293567082672134
VARt,0.17053724349131982,7.444528471082394e-30,0.17053724349131982
BioEnergy,0.1645024509911959,7.2283611021990775e-28,0.1645024509911959
KURTt,-0.16168360171074053,5.777714814652971e-27,0.16168360171074053
ECV,-0.15916906404897113,3.5757699673794734e-26,0.15916906404897113
SKEWt,0.15056267199150694,1.4650717388337214e-23,0.15056267199150694
EVNtCount,0.13303735115399482,1.0628340712895905e-18,0.13303735115399482
Red drum,-0.11754519704860045,6.5656863197771794e-15,0.11754519704860045
EVNspMean,0.08376806648460619,2.9592702730797706e-08,0.08376806648460619
File,-0.07514831366153658,6.638332935372355e-07,0.07514831366153658
EVNtMean,-0.07265101104265287,1.5398422869637638e-06,0.07265101104265287
Atlantic croaker,-0.06073490786815949,5.916397665527448e-05,0.06073490786815949
EVNtFraction,0.04920947713668884,0.0011420816566000958,0.04920947713668884
ACI,0.04808625636196945,0.0014797456342766908,0.04808625636196945
Bottlenose dolphin echolocation,-0.033552969118772785,0.026603977698985183,0.033552969118772785
TFSD,-0.032269082970297555,0.03297465959962971,0.032269082970297555
Oyster toadfish boat whistle,0.03100379452394618,0.04048770153296499,0.03100379452394618
ACTspMean,0.027843173084962484,0.06579787755700651,0.027843173084962484
Oyster toadfish grunt,-0.027400246645256178,0.07021522630049684,0.027400246645256178
Bottlenose dolphin burst pulses,-0.019645966020099458,0.1942792631662672,0.019645966020099458
Vessel,0.016657034017362276,0.2711088071577415,0.016657034017362276
Silver perch,-0.009882461941146864,0.5138242998323509,0.009882461941146864
Bottlenose dolphin whistles,-0.009012720745639247,0.5515549110276564,0.009012720745639247
MEANt,0.008718900663238844,0.5646019579576064,0.008718900663238844
Black drum,-0.006390973726597105,0.6728645042749912,0.006390973726597105
